Voltage,Current
641.9874,5.08E-06
642.4886,5.09E-06
642.9843,5.10E-06
643.4866,5.10E-06
643.9889,5.11E-06
644.4897,5.12E-06
644.9891,5.13E-06
645.5463,5.14E-06
646.0303,5.15E-06
646.53,5.16E-06
647.0324,5.17E-06
647.5347,5.17E-06
648.0346,5.18E-06
648.5361,5.19E-06
649.0366,5.20E-06
649.5391,5.21E-06
650.0407,5.22E-06
546.0851,1.04E-05
550.5272,3.77E-06
551.0277,3.77E-06
551.5295,3.77E-06
552.0311,3.78E-06
552.533,3.79E-06
553.032,3.79E-06
553.5359,3.80E-06
554.0347,3.80E-06
554.5369,3.81E-06
555.0761,3.81E-06
555.5767,3.82E-06
556.0776,3.83E-06
556.5807,3.83E-06
557.0803,3.84E-06
557.5811,3.84E-06
558.0843,3.85E-06
558.5847,3.86E-06
559.0862,3.86E-06
559.5887,3.87E-06
560.09,3.87E-06
560.5916,3.88E-06
561.092,3.89E-06
561.5942,3.89E-06
562.095,3.90E-06
562.5778,3.90E-06
563.0789,3.91E-06
563.5802,3.92E-06
564.0819,3.92E-06
564.5834,3.93E-06
565.1402,3.94E-06
565.6414,3.94E-06
566.1414,3.95E-06
566.6461,3.95E-06
567.1423,3.96E-06
567.6244,3.97E-06
568.1263,3.97E-06
568.6281,3.98E-06
569.1298,3.98E-06
569.632,3.99E-06
570.1318,4.00E-06
570.6351,4.00E-06
571.136,4.01E-06
571.6345,4.01E-06
572.138,4.02E-06
572.6387,4.03E-06
573.1407,4.03E-06
573.6422,4.04E-06
574.1428,4.05E-06
574.6453,4.05E-06
575.1818,4.06E-06
575.6841,4.07E-06
576.1862,4.07E-06
576.6862,4.08E-06
577.188,4.08E-06
577.6901,4.09E-06
578.1906,4.10E-06
578.6924,4.10E-06
579.1962,4.11E-06
579.6955,4.12E-06
580.1784,4.12E-06
580.68,4.13E-06
581.1807,4.13E-06
581.6836,4.14E-06
582.1837,4.15E-06
582.685,4.15E-06
583.1859,4.16E-06
583.688,4.17E-06
584.1878,4.17E-06
584.6908,4.18E-06
585.2305,4.19E-06
585.7326,4.19E-06
586.2327,4.20E-06
586.7352,4.21E-06
587.2374,4.21E-06
587.7386,4.22E-06
588.239,4.22E-06
588.7407,4.23E-06
589.2435,4.24E-06
589.7445,4.24E-06
590.2437,4.25E-06
590.7444,4.26E-06
591.2458,4.26E-06
591.7491,4.27E-06
592.2493,4.28E-06
592.734,4.28E-06
593.2359,4.29E-06
593.7367,4.30E-06
594.2366,4.30E-06
594.7385,4.31E-06
595.2955,4.32E-06
595.7974,4.32E-06
596.2997,4.33E-06
596.8011,4.34E-06
597.3005,4.34E-06
597.7839,4.35E-06
598.2849,4.36E-06
598.7878,4.36E-06
599.2886,4.37E-06
599.7896,4.38E-06
600.289,4.38E-06
600.7924,4.39E-06
601.2939,4.40E-06
601.7935,4.40E-06
602.296,4.41E-06
602.7975,4.42E-06
603.2996,4.42E-06
603.8004,4.43E-06
604.3016,4.44E-06
604.8017,4.44E-06
605.3405,4.45E-06
605.843,4.46E-06
606.3442,4.46E-06
606.8453,4.47E-06
607.3447,4.48E-06
607.8476,4.48E-06
608.3496,4.49E-06
608.851,4.50E-06
609.354,4.50E-06
609.8534,4.51E-06
610.3352,4.52E-06
610.8361,4.53E-06
611.3373,4.53E-06
611.8391,4.54E-06
612.3407,4.55E-06
612.8395,4.55E-06
613.343,4.56E-06
613.8439,4.57E-06
614.3456,4.57E-06
614.8467,4.58E-06
615.4031,4.59E-06
615.886,4.60E-06
616.3877,4.60E-06
616.888,4.61E-06
617.39,4.62E-06
617.8914,4.62E-06
618.3918,4.63E-06
618.8926,4.64E-06
619.3938,4.64E-06
619.8947,4.65E-06
620.3981,4.66E-06
620.8984,4.67E-06
621.3981,4.67E-06
621.9002,4.68E-06
622.4008,4.69E-06
622.9036,4.69E-06
623.3862,4.70E-06
623.8853,4.71E-06
624.3881,4.72E-06
624.8889,4.72E-06
625.445,4.73E-06
625.9483,4.74E-06
626.4481,4.75E-06
626.9503,4.75E-06
627.4514,4.76E-06
627.9541,4.77E-06
628.4343,4.78E-06
