Applied_Voltage,Leakage_Current
530.7897,3.93731e-06
533.8348,3.97548e-06
536.8237,4.013188e-06
539.8311,4.051487e-06
542.8399,4.090105e-06
545.8296,4.128668e-06
548.8778,4.168224e-06
551.8848,4.207446e-06
554.8925,4.246916e-06
557.8824,4.286579e-06
560.8908,4.326631e-06
563.9354,4.367496e-06
566.9401,4.408059e-06
569.9302,4.448519e-06
572.9379,4.489742e-06
575.9465,4.531231e-06
578.9929,4.573512e-06
581.9805,4.615144e-06
584.9906,4.657427e-06
587.9993,4.700119e-06
590.9878,4.742776e-06
594.0336,4.786655e-06
597.0399,4.830273e-06
600.0491,4.874208e-06
4.015024,1.094856e-08
7.022121,2.058608e-08
10.06691,2.971239e-08
13.05416,3.844694e-08
16.06346,4.67552e-08
19.07312,5.456187e-08
22.06026,6.253938e-08
25.12144,7.163259e-08
28.11222,8.045553e-08
31.11825,8.954067e-08
34.10609,9.848969e-08
37.11422,1.077662e-07
40.1585,1.170524e-07
43.16336,1.270227e-07
46.15178,1.391286e-07
49.15986,1.52124e-07
52.16902,1.650829e-07
55.21332,1.78323e-07
58.21883,1.867755e-07
61.20882,2.048621e-07
64.21468,2.189553e-07
67.20325,2.327145e-07
70.2659,2.468655e-07
73.25584,2.608604e-07
76.26483,2.751662e-07
79.2529,2.895226e-07
82.26219,3.041233e-07
85.30803,3.187678e-07
88.31457,3.335161e-07
91.30419,3.485169e-07
94.31487,3.631619e-07
97.32106,3.781784e-07
100.3666,3.933476e-07
103.3747,4.08698e-07
106.363,4.243766e-07
109.3723,4.400719e-07
112.3578,4.561187e-07
115.4224,4.727257e-07
118.4116,4.89023e-07
121.4199,5.057075e-07
124.4102,5.222977e-07
127.4164,5.400111e-07
130.4626,5.571356e-07
133.4717,5.744197e-07
136.4598,5.926357e-07
139.4676,6.099108e-07
142.4774,6.290027e-07
145.5216,6.488374e-07
148.5293,6.662199e-07
151.5202,6.881392e-07
154.5279,7.076109e-07
157.5164,7.266891e-07
160.5797,7.513811e-07
163.5682,7.690974e-07
166.5756,7.90587e-07
169.5663,8.123513e-07
172.5737,8.314046e-07
175.6182,8.551258e-07
178.6257,8.760238e-07
181.615,8.952366e-07
184.6221,9.194708e-07
187.6257,9.403891e-07
190.6708,9.627078e-07
193.6776,9.86373e-07
196.6659,1.00619e-06
199.6748,1.027195e-06
202.6662,1.049983e-06
205.592,1.049998e-06
208.7091,1.042344e-06
211.7144,1.063904e-06
214.7037,1.084596e-06
217.7115,1.105437e-06
220.7557,1.126832e-06
223.7628,1.148117e-06
226.752,1.169395e-06
229.76,1.190823e-06
232.7679,1.212487e-06
235.8132,1.234572e-06
238.8207,1.256559e-06
241.8112,1.278595e-06
244.8202,1.300868e-06
247.8107,1.323013e-06
250.8737,1.34587e-06
253.8633,1.368505e-06
256.8716,1.39142e-06
259.8604,1.414281e-06
262.8655,1.437349e-06
265.9115,1.460864e-06
268.9177,1.484262e-06
271.9269,1.507896e-06
274.9169,1.531434e-06
277.924,1.555353e-06
280.969,1.579635e-06
283.9783,1.603733e-06
286.9675,1.627857e-06
289.9762,1.652357e-06
292.9647,1.67681e-06
296.0281,1.701917e-06
299.0194,1.726517e-06
302.0269,1.751522e-06
305.016,1.776389e-06
308.0794,1.802322e-06
311.0689,1.827528e-06
314.0756,1.85303e-06
317.0829,1.878651e-06
320.071,1.904335e-06
323.117,1.930715e-06
326.1243,1.95693e-06
329.1321,1.9832e-06
332.1208,2.00946e-06
335.1275,2.036091e-06
338.1715,2.063089e-06
341.1754,2.089869e-06
344.1656,2.117009e-06
347.1743,2.144292e-06
350.1621,2.171507e-06
353.2254,2.199535e-06
356.214,2.227055e-06
359.2229,2.255043e-06
362.2293,2.283136e-06
365.2193,2.311197e-06
368.2622,2.339938e-06
371.2705,2.368576e-06
374.2771,2.397228e-06
377.2657,2.426061e-06
380.2751,2.455187e-06
383.3196,2.484859e-06
386.3275,2.514261e-06
389.3185,2.543682e-06
392.3257,2.573468e-06
395.3159,2.603308e-06
398.3805,2.634117e-06
401.3709,2.664302e-06
404.3786,2.69479e-06
407.3861,2.725508e-06
410.3736,2.756139e-06
413.4208,2.787729e-06
416.4257,2.818992e-06
419.4338,2.850461e-06
422.4229,2.881879e-06
425.4302,2.913729e-06
428.4771,2.946156e-06
431.4837,2.978412e-06
434.4745,3.010665e-06
437.4813,3.043221e-06
440.4716,3.075716e-06
443.534,3.109316e-06
446.5248,3.142494e-06
449.5323,3.175873e-06
452.5391,3.209444e-06
455.5309,3.242958e-06
458.5737,3.277368e-06
461.5819,3.311619e-06
464.5886,3.345968e-06
467.5772,3.380508e-06
470.5859,3.415239e-06
473.6306,3.450622e-06
476.6382,3.48581e-06
479.6278,3.52106e-06
482.6346,3.5568e-06
485.6434,3.592592e-06
488.6876,3.629137e-06
491.6729,3.665109e-06
494.6791,3.701537e-06
497.6866,3.738242e-06
500.6747,3.774938e-06
503.7213,3.812638e-06
506.7277,3.849861e-06
509.7339,3.887445e-06
512.725,3.925056e-06
515.7327,3.963135e-06
518.7761,4.001899e-06
521.7842,4.040376e-06
524.7748,4.078849e-06
527.7811,4.117841e-06
530.7879,4.157101e-06
533.834,4.197077e-06
536.8242,4.236559e-06
539.832,4.276494e-06
542.8397,4.316674e-06
545.8299,4.356945e-06
548.8768,4.398328e-06
551.8856,4.439351e-06
554.8937,4.480647e-06
557.8829,4.5219e-06
560.8914,4.563656e-06
563.9342,4.606286e-06
566.9387,4.648703e-06
569.9316,4.691167e-06
572.9365,4.734096e-06
575.9468,4.777251e-06
578.9915,4.821359e-06
581.9809,4.865066e-06
584.9894,4.909276e-06
587.9982,4.953728e-06
590.9865,4.998166e-06
594.0339,5.043943e-06
597.0427,5.089414e-06
600.0501,5.135415e-06
4.012281,1.358145e-08
7.020814,2.355878e-08
10.06658,3.421513e-08
13.05446,4.441893e-08
16.06085,5.416006e-08
19.07078,6.355791e-08
22.05949,7.276733e-08
25.12176,8.284838e-08
28.11285,9.303398e-08
31.11967,1.035571e-07
34.10802,1.14091e-07
